quantity,waterpoint_type,extraction_type_class,construction_year,payment,water_quality,source,gps_height,longitude,latitude,population,management,funder,installer,date_recorded,permit,public_meeting,amount_tsh,status_group
enough,hand pump,handpump,2008.0,pay monthly,soft,shallow well,502.0,36.91185995,-7.03353104,50.0,vwc,ta,ta,2011-03-17,True,True,500.0,functional needs repair
enough,hand pump,handpump,,never pay,soft,machine dbh,,33.4967107,-2.95651166,,vwc,hifab,hesawa,2011-07-21,True,,,non functional
dry,other,other,1990.0,,,shallow well,1586.0,34.83604672,-5.06927536,1.0,vwc,,,2013-02-03,,True,,non functional
dry,communal standpipe,motorpump,,,soft,machine dbh,,36.03626317,-5.44703041,,vwc,bsf,bsf,2011-03-18,True,True,,non functional
insufficient,communal standpipe,submersible,2002.0,pay per bucket,soft,river,301.0,38.56329968,-5.53157817,50.0,vwc,district council,handeni trunk main(,2011-03-24,True,True,50.0,non functional
insufficient,communal standpipe,gravity,1972.0,never pay,soft,river,1693.0,31.52121333,-8.29870428,200.0,vwc,dwe,dwe,2011-07-19,True,True,,non functional
enough,communal standpipe,gravity,2002.0,pay monthly,soft,spring,1275.0,37.08800043,-3.1871465,1.0,water board,lawatefuka water supply,lawatefuka water sup,2013-03-15,True,True,20.0,functional
dry,other,other,1983.0,never pay,,shallow well,282.0,38.64525668,-10.13065627,241.0,vwc,fini water,fini water,2013-01-28,False,True,,non functional
enough,communal standpipe,gravity,1976.0,never pay,soft,river,1920.0,31.37518075,-7.79292174,1.0,vwc,go,dwe,2011-07-23,False,False,,non functional
enough,communal standpipe multiple,gravity,1962.0,pay monthly,soft,spring,1798.0,37.57428306,-3.16289277,1.0,company,government of tanzania,district council,2013-02-16,True,True,,non functional
insufficient,communal standpipe,motorpump,2010.0,pay monthly,soft,river,105.0,38.85452098,-6.7870759000000005,10.0,private operator,wsdp,wachina,2011-02-26,True,True,10000.0,functional
enough,communal standpipe,gravity,1999.0,pay per bucket,soft,spring,1172.0,37.12708332,-3.23165277,60.0,water board,germany republi,ces,2013-07-03,True,True,10.0,functional
enough,communal standpipe,gravity,1983.0,pay per bucket,soft,river,261.0,39.32834964,-9.95321326,63.0,wua,government of tanzania,district council,2013-01-17,False,False,25.0,functional needs repair
enough,communal standpipe,gravity,2004.0,pay annually,soft,spring,1716.0,35.43389338,-8.11858175,1.0,vwc,kalta,kalta,2011-02-23,True,True,1000.0,functional
enough,communal standpipe,gravity,2012.0,never pay,soft,spring,1285.0,37.98801295,-4.38727531,510.0,vwc,village council,district council,2013-02-13,True,False,,functional
insufficient,communal standpipe,gravity,2002.0,,soft,river,1288.0,36.92082884,-3.3218193,120.0,vwc,adra,adra /community,2013-05-03,True,True,,functional
insufficient,hand pump,handpump,2007.0,pay monthly,soft,shallow well,665.0,36.21621024,-11.29097946,1200.0,wug,tasaf,cjejow construction,2013-02-25,False,True,500.0,non functional
insufficient,hand pump,handpump,,,soft,shallow well,,32.16494671,-3.37378167,,wug,world vision,world vision,2012-10-26,True,True,,functional
enough,other,other,,never pay,soft,shallow well,,33.35708665,-3.77114165,,vwc,dwsp,dwsp,2012-10-01,True,True,,non functional
insufficient,communal standpipe,gravity,1996.0,,soft,spring,1296.0,36.96133777,-3.25755535,130.0,vwc,government of tanzania,rwe /community,2013-03-25,True,True,,functional
dry,communal standpipe,gravity,1983.0,pay monthly,soft,river,941.0,35.98246493,-10.72214673,200.0,vwc,danida,danida,2013-02-27,True,True,500.0,non functional
dry,communal standpipe multiple,gravity,1992.0,pay when scheme fails,soft,spring,1183.0,33.39341275,-2.07121896,250.0,vwc,hesawa,dwe,2013-01-22,True,True,,non functional
enough,hand pump,handpump,,pay when scheme fails,soft,shallow well,,33.03953065,-9.22731492,,vwc,kkkt,kkkt,2011-07-08,False,True,,functional
dry,hand pump,handpump,2001.0,pay per bucket,soft,shallow well,573.0,36.46505294,-11.56231592,300.0,private operator,ringo,dwe,2013-02-22,False,True,100.0,non functional
enough,communal standpipe,submersible,1988.0,,salty,machine dbh,1173.0,34.13909878,-1.40605486,1.0,vwc,hesawa,hesawa,2012-10-29,False,,,non functional
enough,communal standpipe,gravity,1969.0,pay per bucket,soft,river,501.0,37.79457264,-6.79632109,120.0,vwc,unice,rwe,2011-03-17,True,True,20.0,functional
enough,communal standpipe,gravity,2005.0,pay annually,soft,river,895.0,29.8288326,-4.87439501,175.0,vwc,government of tanzania,dwe,2013-01-29,True,True,3600.0,functional needs repair
dry,other,other,,,soft,shallow well,,36.075425200000005,-5.78126135,,vwc,water,water,2011-03-23,True,True,,non functional
enough,communal standpipe,gravity,1972.0,never pay,soft,spring,1803.0,31.66682393,-8.65415711,300.0,vwc,dwe,dwe,2011-08-22,True,True,,non functional
seasonal,hand pump,handpump,1996.0,,soft,shallow well,1268.0,34.56583318,-1.60609606,100.0,wug,hesawa,hesawa,2013-02-23,,,,non functional
enough,hand pump,handpump,,,soft,shallow well,,,-2e-08,,wug,dwsp,dwe,2012-10-25,False,,,functional
enough,other,handpump,1992.0,pay monthly,soft,machine dbh,821.0,29.68123448,-4.84626804,176.0,vwc,isf,dwe,2013-01-26,True,True,50.0,non functional
enough,communal standpipe,gravity,2010.0,pay monthly,soft,river,743.0,36.82010604,-7.36464731,60.0,vwc,st,st,2011-03-17,True,True,100.0,functional
enough,communal standpipe,gravity,1999.0,pay per bucket,soft,spring,970.0,37.25640136,-3.33746077,40.0,water board,germany republi,ces,2013-03-19,True,True,5.0,functional
enough,other,other,2007.0,never pay,soft,dam,23.0,39.22305846,-7.12858052,700.0,vwc,dadp,dadp,2011-02-19,False,True,,functional
seasonal,hand pump,handpump,1996.0,pay when scheme fails,soft,shallow well,910.0,35.2135382,-10.81227751,560.0,vwc,soda,dwe,2013-05-03,True,True,,functional
enough,improved spring,other,2008.0,,,spring,1607.0,34.4517217,-1.24669844,300.0,vwc,kanisani,kanisani,2012-10-21,True,True,,functional
insufficient,hand pump,handpump,,never pay,soft,shallow well,,36.09681446,-6.04616249,,vwc,cmsr,cmsr,2011-03-22,True,True,,functional
enough,hand pump,handpump,2011.0,,soft,shallow well,437.0,37.13657297,-6.79004099,250.0,vwc,af,af,2011-02-27,True,True,,non functional
enough,communal standpipe,gravity,2007.0,pay per bucket,soft,river,1175.0,37.28090634,-3.27019899,35.0,water board,ces (gmbh),dwe,2013-02-04,True,True,5.0,functional
seasonal,communal standpipe,gravity,2007.0,never pay,soft,rainwater harvesting,1465.0,34.63969691,-4.1784633,288.0,parastatal,wfp/usaid/tnt,hapa singida,2013-01-18,True,True,,functional needs repair
enough,other,other,1999.0,pay monthly,salty,shallow well,1307.0,33.96177305,-1.90660374,250.0,vwc,hsw,hsw,2012-10-26,True,True,500.0,non functional
insufficient,communal standpipe,gravity,1962.0,pay monthly,soft,spring,1227.0,37.63974584,-3.13074815,1.0,company,government of tanzania,district council,2013-02-18,True,True,,non functional
enough,hand pump,handpump,1999.0,pay monthly,soft,machine dbh,468.0,37.49475427,-11.08076967,1.0,vwc,unicef,unicef,2013-02-04,False,True,500.0,functional
enough,hand pump,handpump,,other,soft,shallow well,,33.86197229,-3.34294546,,wug,world vision,world vision,2012-10-12,False,True,,functional
enough,communal standpipe,gravity,1976.0,never pay,soft,river,1908.0,31.43605723,-7.85202536,1.0,vwc,go,dwe,2011-07-27,True,False,,non functional
insufficient,hand pump,handpump,,never pay,salty,shallow well,,,-2e-08,,vwc,hesawa,dwe,2012-10-25,True,True,,functional needs repair
enough,communal standpipe,gravity,1999.0,pay per bucket,soft,spring,973.0,37.25895374,-3.32568313,50.0,water board,germany republi,ces,2013-03-19,True,True,5.0,functional
enough,communal standpipe,submersible,1997.0,pay annually,soft,river,1490.0,35.29312689,-9.76352741,,vwc,mission,mission,2013-02-23,True,True,8000.0,functional
enough,communal standpipe,gravity,1978.0,pay when scheme fails,soft,river,973.0,35.50499466,-10.82524696,,vwc,danida,dwe,2013-02-19,True,True,,functional needs repair
seasonal,communal standpipe,gravity,,pay monthly,soft,spring,314.0,39.103587100000006,-10.90069465,50.0,vwc,lga,lga,2013-02-05,True,True,300.0,functional
seasonal,hand pump,handpump,,never pay,soft,shallow well,,33.23261928,-4.20649954,,vwc,world vision,world vision,2013-02-14,False,False,,functional
insufficient,hand pump,handpump,2008.0,pay when scheme fails,soft,shallow well,247.0,36.70009152,-8.11646096,400.0,vwc,swiss if,swiss if,2011-03-21,True,True,200.0,non functional
enough,communal standpipe,gravity,,pay annually,soft,spring,1332.0,34.75954967,-8.63853742,,vwc,conce,dwe,2011-03-19,True,True,,functional
seasonal,hand pump,handpump,,never pay,soft,shallow well,,33.61561065,-3.2219983,,wug,netherlands,dwe,2013-02-17,False,True,,functional
enough,hand pump,handpump,,pay monthly,soft,shallow well,,32.36307126,-5.17712619,,vwc,dwe,dwe,2012-10-13,True,True,,non functional
enough,communal standpipe,gravity,,never pay,soft,spring,,32.81995123,-7.73770982,,vwc,government of tanzania,government,2011-04-11,True,True,,functional
insufficient,communal standpipe,gravity,2005.0,pay monthly,soft,spring,1452.0,36.71607633,-3.3597885,150.0,vwc,government of tanzania,dwe,2013-06-03,True,True,200.0,functional
dry,communal standpipe,gravity,,never pay,soft,river,,33.86490675,-9.59647638,,water authority,sida,central government,2011-10-07,True,True,,non functional
enough,communal standpipe,gravity,1978.0,never pay,soft,machine dbh,57.0,38.71364557,-6.94044153,1000.0,vwc,government of tanzania,ddca,2011-02-23,False,True,,non functional
insufficient,communal standpipe,gravity,,never pay,soft,spring,,31.65483101,-1.25529597,,vwc,hesawa,dwe,2011-07-13,True,True,,non functional
seasonal,hand pump,handpump,,never pay,soft,shallow well,,33.3714009,-3.79116598,,parastatal,dwsp,dwsp,2012-10-22,True,True,,functional
enough,communal standpipe,gravity,1978.0,pay monthly,soft,river,1550.0,34.64700028,-9.0267805,55.0,wua,unicef,dwe,2011-08-04,True,True,500.0,functional
enough,communal standpipe multiple,gravity,1998.0,never pay,soft,spring,1615.0,36.68507554,-3.31737587,200.0,vwc,oxfam,dwe,2013-12-03,True,True,,functional
insufficient,communal standpipe,gravity,2002.0,never pay,soft,river,990.0,35.72632166,-3.71466822,205.0,vwc,lamp,dwe,2013-03-06,True,True,,functional
insufficient,other,other,1988.0,pay annually,soft,hand dtw,1098.0,31.30220873,-6.39279673,250.0,vwc,rudep,dwe,2011-07-28,True,True,2000.0,non functional
enough,communal standpipe multiple,submersible,2006.0,never pay,soft,machine dbh,1085.0,37.09658276,-5.7190483,1.0,vwc,world bank,government,2013-02-28,True,True,,non functional
enough,communal standpipe multiple,submersible,2011.0,,soft,machine dbh,119.0,40.03447589,-10.6198845,190.0,vwc,amref,amref,2013-02-21,True,True,,non functional
enough,communal standpipe multiple,submersible,2012.0,pay per bucket,soft,machine dbh,1350.0,37.1855546,-4.46030112,200.0,water authority,government of tanzania,dwe,2013-02-26,True,True,50.0,functional
enough,communal standpipe,gravity,2006.0,pay monthly,soft,spring,2013.0,34.44015396,-9.57019053,8.0,vwc,twe,twe,2011-02-27,False,True,1000.0,functional
insufficient,communal standpipe multiple,submersible,,pay per bucket,coloured,dam,,33.18466358,-4.21796568,,water authority,dwe,wedeco,2012-10-10,True,False,,functional
insufficient,communal standpipe multiple,gravity,1985.0,,soft,river,1000.0,29.92757932,-4.88645434,200.0,vwc,norad,dwe,2013-01-30,True,False,,non functional
insufficient,communal standpipe,gravity,2000.0,never pay,,spring,2188.0,34.57710409,-9.59994724,25.0,vwc,rc ch,rc ch,2011-02-24,False,False,,non functional
enough,communal standpipe,gravity,1999.0,pay per bucket,soft,spring,1369.0,37.15029207,-3.23104179,100.0,water board,germany republi,ces,2013-06-03,True,True,10.0,functional
enough,hand pump,handpump,,never pay,soft,machine dbh,,33.00212934,-4.69426391,,vwc,wateraid,sema,2013-02-05,True,True,,functional
enough,communal standpipe multiple,motorpump,2011.0,pay per bucket,salty,machine dbh,224.0,39.81003314,-10.53238736,70.0,vwc,amref,amref,2013-02-23,True,True,50.0,functional
enough,hand pump,handpump,,other,soft,shallow well,,34.06476318,-3.10146534,,wug,netherlands,dwe,2012-11-06,False,True,,functional
enough,hand pump,rope pump,2010.0,pay monthly,soft,shallow well,355.0,37.72114813,-6.05168976,1.0,vwc,i wash,local te,2011-03-05,True,True,500.0,functional
enough,hand pump,handpump,,never pay,soft,shallow well,,33.10709606,-3.96111891,,wug,rwssp,rwssp,2012-10-17,True,True,,functional
enough,communal standpipe multiple,gravity,2007.0,pay monthly,soft,dam,1427.0,30.20949435,-4.34106171,420.0,vwc,danida,danida,2013-01-27,True,True,250.0,functional
enough,hand pump,handpump,2006.0,never pay,soft,shallow well,1382.0,34.32279772,-2.98530436,300.0,wug,wvt,wvt,2012-10-23,False,True,,functional
enough,communal standpipe,submersible,2010.0,pay per bucket,soft,river,278.0,38.41369554,-6.11228208,40.0,private operator,private individual,wu,2011-03-04,True,False,30.0,functional
insufficient,hand pump,handpump,1988.0,pay annually,soft,machine dbh,1165.0,32.01056573,-6.77378697,270.0,vwc,rudep,distri,2013-01-29,True,True,5000.0,functional needs repair
enough,communal standpipe,submersible,2003.0,pay per bucket,soft,machine dbh,1746.0,35.04646664,-4.1387758,182.0,parastatal,village council/ haydom luther,village council,2013-02-07,True,True,20.0,functional
dry,communal standpipe multiple,submersible,,pay per bucket,salty,machine dbh,,36.64283877,-6.2448378,,vwc,world bank,inter,2011-03-24,False,True,,non functional
seasonal,communal standpipe,gravity,2000.0,never pay,soft,rainwater harvesting,200.0,38.18587121,-6.82161909,10.0,vwc,world bank,world,2011-04-02,True,True,,non functional
seasonal,communal standpipe,gravity,1998.0,pay annually,soft,river,582.0,37.23702132,-11.00710287,1.0,vwc,danida,danida,2013-02-11,False,True,1000.0,functional
enough,hand pump,handpump,,other,soft,shallow well,,,-2e-08,,wug,lwi,lwi,2011-07-30,False,False,,functional needs repair
enough,communal standpipe,gravity,2010.0,,soft,river,1284.0,30.8836665,-3.18403905,150.0,vwc,caritas,cartas,2013-02-12,False,True,,non functional
insufficient,communal standpipe,gravity,1974.0,pay annually,soft,river,1349.0,30.27970264,-4.48434187,1000.0,water board,government of tanzania,dwe,2013-01-20,True,True,1200.0,functional
enough,communal standpipe,gravity,2002.0,,soft,spring,1362.0,34.97788119,-10.98634333,25.0,wug,government of tanzania,government,2013-05-02,True,,,functional
insufficient,communal standpipe,gravity,2009.0,never pay,soft,spring,1275.0,30.03438387,-4.77269659,470.0,private operator,fpct church,dwe,2013-01-30,True,True,,functional
enough,communal standpipe,gravity,2002.0,pay monthly,soft,spring,1664.0,35.47689724,-7.93818366,1.0,vwc,missi,missi,2011-03-01,True,True,200.0,functional
enough,communal standpipe,submersible,,pay per bucket,soft,machine dbh,,36.30359333,-6.35491334,,vwc,world bank,local,2011-04-12,True,True,,functional
insufficient,other,other,,,soft,shallow well,,32.68359299,-3.87885265,,vwc,bgm,bgm,2013-02-06,True,,,functional
dry,communal standpipe,gravity,,never pay,soft,spring,,30.83517282,-1.41066905,,vwc,hesawa,dwe,2011-07-28,True,True,,non functional
enough,communal standpipe,gravity,2009.0,pay monthly,soft,spring,1997.0,34.66684457,-9.26473408,100.0,wua,rc church,acra,2011-04-15,True,True,500.0,functional
enough,communal standpipe,submersible,2000.0,pay per bucket,soft,machine dbh,21.0,39.17882549,-6.90421118,350.0,wug,0,0,2013-03-22,False,,50.0,functional
dry,hand pump,handpump,2007.0,never pay,,shallow well,32.0,39.18869666,-7.36298024,500.0,vwc,amref,amref,2011-03-14,False,True,,non functional
insufficient,communal standpipe,gravity,2005.0,pay monthly,soft,river,280.0,36.89848728,-7.84540904,400.0,vwc,community,communit,2011-03-25,True,True,200.0,functional
insufficient,communal standpipe,gravity,2007.0,never pay,soft,spring,1295.0,35.75209508,-2.13842112,180.0,parastatal,ereto,ereto,2013-03-19,True,True,,functional
insufficient,communal standpipe,gravity,1988.0,pay annually,soft,dam,710.0,37.01368676,-10.75430199,1.0,vwc,danida,danida,2013-02-08,False,True,400.0,functional
dry,communal standpipe,gravity,1985.0,pay annually,soft,spring,1468.0,35.50136752,-7.76520325,1.0,vwc,danida,danid,2011-03-06,True,True,2400.0,non functional
seasonal,hand pump,handpump,,,salty,hand dtw,,33.52489558,-3.6635945,,wug,dwsp,dwe,2012-10-05,True,,,functional
enough,communal standpipe,gravity,1998.0,never pay,soft,rainwater harvesting,1622.0,34.71079502,-1.69135447,335.0,other,hesawa,hesawa,2012-10-23,,False,,functional needs repair
insufficient,communal standpipe,gravity,1972.0,never pay,soft,river,294.0,37.76289093,-7.04897358,150.0,vwc,unice,rwe,2011-03-01,True,True,,non functional
insufficient,communal standpipe,gravity,,never pay,soft,rainwater harvesting,,31.37860564,-2.96994543,,vwc,concern world wide,dwe,2011-07-19,True,True,,functional needs repair
enough,hand pump,handpump,1984.0,never pay,salty,rainwater harvesting,,38.85077377,-4.87257111,2129.0,vwc,mheza distric counc,dwe,2011-03-09,True,True,,non functional
enough,hand pump,handpump,,never pay,soft,shallow well,,31.2602411,-1.58293986,,vwc,jica,dwe,2011-07-07,True,True,,non functional
insufficient,other,gravity,1975.0,,soft,spring,843.0,37.382388,-3.33788045,1.0,vwc,government of tanzania,dwe,2013-01-03,True,False,,non functional
insufficient,hand pump,handpump,,never pay,soft,machine dbh,,32.30683099,-8.3885215,,vwc,government of tanzania,ddca,2011-07-28,False,False,,non functional
enough,communal standpipe,submersible,2010.0,pay per bucket,soft,machine dbh,37.0,39.28776729999999,-6.97418345,6922.0,vwc,jaica,jaica,2011-02-26,False,True,30.0,functional
seasonal,other,other,,pay when scheme fails,soft,shallow well,,33.12833251,-9.04397157,,vwc,kkkt,kkkt,2011-08-15,False,False,,non functional
insufficient,communal standpipe,motorpump,,pay per bucket,soft,machine dbh,,35.86888413,-6.42051509,,vwc,mzung,mzung,2011-03-16,True,True,,functional
enough,communal standpipe,gravity,2001.0,pay monthly,soft,spring,1304.0,37.04605861,-3.19011464,1.0,water board,magadini-makiwaru water,magadini-makiwaru wa,2013-03-24,True,True,,functional
enough,communal standpipe,gravity,1995.0,pay annually,soft,spring,1182.0,34.72338514,-10.23667613,60.0,vwc,ded,dwe,2011-02-23,True,True,500.0,functional
insufficient,communal standpipe,gravity,1998.0,,soft,spring,1327.0,36.85648154,-3.33351998,68.0,vwc,world vision/adra,community,2013-03-04,True,True,,non functional
enough,other,other,1985.0,,salty,shallow well,53.0,39.75651848,-10.35455217,200.0,vwc,fini water,fini water,2013-02-03,True,True,,non functional
dry,other,other,,,milky,shallow well,,32.22683034,-3.83023688,,wug,rwssp,dwe,2012-10-18,True,True,,non functional
enough,communal standpipe,gravity,2009.0,pay annually,soft,river,1023.0,35.28462061,-10.44626926,,vwc,mission,dwe,2013-02-03,True,True,1000.0,functional needs repair
enough,communal standpipe multiple,submersible,1986.0,pay monthly,salty,machine dbh,1271.0,34.22052671,-1.29985349,1200.0,private operator,serikali,wizara ya maji,2012-10-17,False,True,,functional
enough,hand pump,handpump,2010.0,never pay,soft,hand dtw,1347.0,36.69504581,-3.38171956,750.0,water authority,,,2013-03-13,,True,,functional
enough,communal standpipe,gravity,,,soft,spring,,33.69564167,-9.23466088,,vwc,,,2011-04-21,,True,,functional
enough,communal standpipe,gravity,2009.0,pay monthly,soft,spring,1330.0,37.99820789,-4.3138207,250.0,water board,kwikwiz,dwe,2013-04-03,True,True,500.0,functional
seasonal,hand pump,handpump,2003.0,never pay,soft,shallow well,246.0,37.02670458,-7.73320913,250.0,vwc,solidame,dwe,2011-03-30,True,True,,functional
enough,communal standpipe multiple,gravity,1998.0,never pay,soft,spring,1562.0,36.68491377,-3.32643633,200.0,vwc,oxfam,dwe,2013-12-03,True,True,,functional
enough,other,other,2010.0,never pay,soft,shallow well,339.0,37.61156997,-6.13786734,40.0,vwc,african,kuwait,2011-03-08,True,True,,functional
insufficient,communal standpipe,gravity,2007.0,pay monthly,soft,spring,1352.0,37.6589856,-3.67606047,40.0,vwc,district council,district council,2013-03-05,False,True,300.0,functional
enough,other,other,,never pay,soft,machine dbh,,33.39141546,-2.77604223,,vwc,hifab,hesawa,2011-08-11,True,True,,non functional
insufficient,communal standpipe multiple,motorpump,,pay per bucket,soft,machine dbh,,35.48194546,-6.02103879,,private operator,water,commu,2011-03-29,False,True,,functional
seasonal,hand pump,handpump,,never pay,soft,shallow well,,32.82699142,-2.53198581,,vwc,government of tanzania,sengerema water department,2011-07-28,True,True,,non functional
enough,other,other,,pay when scheme fails,soft,shallow well,,32.88268032,-9.17212182,,vwc,kkkt,kkkt,2011-03-30,False,True,,non functional
enough,hand pump,handpump,,pay annually,milky,shallow well,,33.08540932,-3.01714956,,vwc,hesawa,hesawa,2011-08-04,True,False,,non functional
enough,communal standpipe multiple,gravity,1980.0,pay monthly,soft,river,1085.0,29.71268686,-4.68834967,558.0,parastatal,norad,rwe,2013-01-19,True,True,100.0,functional needs repair
enough,communal standpipe,gravity,2008.0,pay monthly,soft,river,965.0,29.72886092,-4.79230023,500.0,vwc,isf,dwe,2013-01-25,True,True,600.0,functional
dry,hand pump,handpump,,,,shallow well,,33.03664121,-9.36992894,,vwc,,,2011-03-30,False,True,,non functional
enough,communal standpipe,gravity,1970.0,pay per bucket,soft,spring,934.0,36.83424999,-3.57419037,300.0,vwc,government of tanzania,dwe,2013-03-14,True,True,30.0,non functional
enough,hand pump,submersible,,pay monthly,salty,machine dbh,,33.25346655,-2.54308674,,vwc,kanisa la mitume,maswi company,2011-07-18,True,True,,functional
enough,communal standpipe,submersible,2004.0,never pay,soft,spring,694.0,37.55083968,-3.52372439,1000.0,wua,government of tanzania,district council,2013-02-14,False,True,,functional
enough,communal standpipe,gravity,,,soft,spring,,33.8132579,-9.34161106,,vwc,,,2011-04-11,,True,,functional
enough,hand pump,handpump,,other,soft,shallow well,,,-2e-08,,wug,tasaf,dwe,2012-10-29,False,True,,functional
dry,other,gravity,1995.0,,soft,spring,1726.0,34.87227356,-11.04044713,1.0,vwc,danida,danida,2013-03-24,True,,,non functional
enough,communal standpipe multiple,submersible,2007.0,,soft,machine dbh,1408.0,30.72496505,-3.56814077,350.0,other,iom,tcrs,2013-01-29,False,True,,non functional
enough,communal standpipe multiple,submersible,2006.0,pay per bucket,soft,other,-51.0,39.49662112,-8.51057881,150.0,vwc,songas,artisan,2013-03-04,True,True,20.0,functional needs repair
insufficient,other,handpump,1995.0,never pay,soft,shallow well,1201.0,33.07359005,-2.00967757,450.0,vwc,hesawa,dwe,2011-07-30,True,True,,non functional
dry,communal standpipe multiple,gravity,1968.0,,soft,spring,459.0,34.81530679,-11.31492603,86.0,vwc,unicef,unicef,2013-08-02,True,,,non functional
enough,communal standpipe,gravity,2008.0,pay monthly,soft,spring,1726.0,37.12276884,-3.13901004,1.0,water board,lawatefuka water supply,lawatefuka water sup,2013-03-16,True,True,,functional
dry,other,other,1989.0,pay when scheme fails,soft,shallow well,749.0,35.47338247,-11.18285713,,vwc,danida,dwe,2013-07-03,True,True,,non functional
enough,hand pump,handpump,2009.0,,soft,machine dbh,1162.0,33.33982953,-1.91182836,350.0,vwc,world bank,ddca,2012-12-17,True,,,functional
insufficient,communal standpipe,gravity,,pay when scheme fails,soft,river,,33.55025548,-8.93116278,,wug,oda,village council .oda,2011-04-02,True,True,,functional
seasonal,communal standpipe,gravity,2008.0,never pay,soft,rainwater harvesting,1162.0,34.21676394,-4.53560139,325.0,parastatal,cg,cg,2013-02-18,True,True,,functional
enough,cattle trough,gravity,,never pay,soft,other,,36.07084993,-6.80928829,,vwc,government of tanzania,gover,2011-04-02,True,True,,non functional
insufficient,communal standpipe,gravity,2011.0,pay monthly,soft,spring,1240.0,37.88495604,-4.3866192,70.0,vwc,adra,adra /government,2013-03-26,True,True,200.0,functional
insufficient,hand pump,handpump,2007.0,pay when scheme fails,soft,shallow well,255.0,36.70047113,-8.13493651,250.0,vwc,swiss if,swiss if,2011-03-18,True,True,500.0,non functional
enough,other,other,1998.0,,soft,shallow well,1650.0,34.48264695,-1.26672167,30.0,private operator,hesawa,hesawa,2012-10-21,True,False,,non functional
enough,hand pump,handpump,2011.0,pay monthly,soft,hand dtw,1185.0,34.06154641,-1.58388917,320.0,vwc,jaica,jaica,2012-10-16,True,,500.0,functional
insufficient,communal standpipe,gravity,1992.0,pay when scheme fails,soft,river,1961.0,36.17009494,-2.88924116,405.0,vwc,vwc,vwc,2013-03-17,True,True,,functional
enough,communal standpipe,gravity,1984.0,never pay,soft,spring,717.0,35.47435099,-7.46191846,1.0,vwc,danida,danid,2011-03-11,True,True,,functional
enough,communal standpipe,gravity,,,soft,river,,33.92618675,-9.40641377,,water authority,,,2011-03-30,,True,,functional
enough,communal standpipe multiple,gravity,1999.0,pay monthly,soft,spring,1446.0,36.68871791,-3.35305689,200.0,vwc,oxfam,dwe,2013-11-03,True,True,2000.0,non functional
enough,communal standpipe,gravity,2005.0,never pay,soft,spring,1863.0,31.53104898,-7.97774109,450.0,vwc,caltus,caltus,2013-01-31,True,True,,functional
enough,communal standpipe,gravity,2007.0,pay annually,soft,spring,1933.0,34.70844314,-9.64297216,13.0,vwc,twe,twe,2011-02-23,True,True,6000.0,functional
dry,hand pump,handpump,1984.0,pay per bucket,soft,machine dbh,1802.0,31.60795973,-7.94833084,4530.0,other,norad,norad,2013-02-05,False,False,50.0,non functional
enough,communal standpipe,gravity,2002.0,,soft,spring,1306.0,34.9905043,-10.94432536,60.0,water board,mbiuwasa,mbiuwasa,2013-03-27,True,,,functional
insufficient,communal standpipe,motorpump,,pay per bucket,salty,machine dbh,,36.63661559,-6.12743123,,water authority,government of tanzania,gover,2011-03-20,False,True,,functional
enough,hand pump,handpump,1988.0,pay annually,salty,machine dbh,1199.0,31.990171000000004,-6.70128761,153.0,vwc,rudep,distri,2013-01-29,True,True,2000.0,functional
enough,hand pump,handpump,1997.0,never pay,soft,shallow well,810.0,30.71737626,-7.461494099999999,450.0,vwc,gt,cons,2011-08-07,False,False,,functional
enough,communal standpipe,gravity,1999.0,pay per bucket,soft,spring,920.0,37.11198614,-3.34694922,2500.0,water board,germany republi,ces,2013-07-03,True,True,10.0,functional
seasonal,communal standpipe,gravity,2012.0,other,soft,spring,664.0,36.00535576,-2.62764587,300.0,parastatal,,issac mollel,2013-03-18,,True,,functional
enough,hand pump,handpump,,never pay,soft,shallow well,,36.59077879,-6.73412166,,vwc,water,water,2011-03-14,True,True,,non functional
insufficient,communal standpipe,gravity,1987.0,pay monthly,soft,river,857.0,29.78353772,-4.98651926,750.0,parastatal,norad,dwe,2013-02-01,True,,,functional
enough,hand pump,handpump,,never pay,soft,shallow well,,32.96062027,-4.119464700000001,,vwc,world vision,dwe,2012-10-24,False,False,,functional needs repair
seasonal,other,gravity,,never pay,soft,spring,,30.68023514,-2.55991483,,vwc,ded,ded,2011-07-12,False,True,,functional
insufficient,other,other,,,milky,shallow well,,32.54009778,-3.83413952,,wug,rwssp,dwe,2013-01-26,True,True,,functional
enough,communal standpipe,gravity,2011.0,pay monthly,soft,spring,1777.0,34.83361283,-9.0244526,95.0,wug,european union,accra,2011-07-07,True,True,500.0,functional
enough,communal standpipe,motorpump,,pay per bucket,soft,machine dbh,,35.35303158,-5.66154218,,vwc,ded,dwe,2011-03-14,False,True,,functional
enough,hand pump,handpump,,never pay,soft,machine dbh,,33.16125336,-4.59166146,,vwc,government of tanzania,dwe,2013-02-08,True,False,,non functional
enough,communal standpipe multiple,gravity,1984.0,pay when scheme fails,soft,spring,1914.0,34.49074574,-9.244665,20.0,vwc,concern /govern,concern /government,2011-03-13,True,True,,functional
enough,communal standpipe,gravity,2002.0,pay monthly,soft,spring,1264.0,37.09313651,-3.190386,1.0,water board,lawatefuka water supply,lawatefuka water sup,2013-03-15,True,True,20.0,non functional
